feature_source,feature_table,feature_name,original_column,feature_kind,n_nonnull,dtype
/home/eduardo/Projects/poemforge-paper/data/processed/surface_matched_pools.csv,surface_features,target__Felt_Valence,,surface_or_matched_control,36,float64
/home/eduardo/Projects/poemforge-paper/data/processed/surface_matched_pools.csv,surface_features,target__rhyme,,surface_or_matched_control,10,float64
/home/eduardo/Projects/poemforge-paper/data/processed/surface_matched_pools.csv,surface_features,word_len_calc,,surface_or_matched_control,46,int64
/home/eduardo/Projects/poemforge-paper/data/processed/surface_matched_pools.csv,surface_features,char_len_calc,,surface_or_matched_control,46,int64
/home/eduardo/Projects/poemforge-paper/data/processed/surface_matched_pools.csv,surface_features,line_count,,surface_or_matched_control,46,int64
/home/eduardo/Projects/poemforge-paper/data/processed/surface_matched_pools.csv,surface_features,mean_line_words,,surface_or_matched_control,46,float64
/home/eduardo/Projects/poemforge-paper/data/processed/surface_matched_pools.csv,surface_features,max_line_words,,surface_or_matched_control,46,int64
/home/eduardo/Projects/poemforge-paper/data/processed/surface_matched_pools.csv,surface_features,short_line_rate,,surface_or_matched_control,46,float64
/home/eduardo/Projects/poemforge-paper/data/processed/surface_matched_pools.csv,surface_features,type_token_ratio,,surface_or_matched_control,46,float64
/home/eduardo/Projects/poemforge-paper/data/processed/surface_matched_pools.csv,surface_features,avg_word_chars,,surface_or_matched_control,46,float64
/home/eduardo/Projects/poemforge-paper/data/processed/surface_matched_pools.csv,surface_features,punct_per_char,,surface_or_matched_control,46,float64
/home/eduardo/Projects/poemforge-paper/data/processed/surface_matched_pools.csv,surface_features,archaic_per_word,,surface_or_matched_control,46,float64
/home/eduardo/Projects/poemforge-paper/data/processed/surface_matched_pools.csv,surface_features,pool__Surprise_surface_matched,,surface_or_matched_control,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_external_d.csv,nll_features,vscore_distilgpt2_external_d__95188b77e8__nll_hist,nll_hist,nll_or_predictability,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_external_d_seed17_dn128.csv,nll_features,vscore_distilgpt2_external_d_seed17_dn128__b4bf85cf97__nll_hist,nll_hist,nll_or_predictability,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_external_d_seed17_dn32.csv,nll_features,vscore_distilgpt2_external_d_seed17_dn32__6d98870a70__nll_hist,nll_hist,nll_or_predictability,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_external_d_seed18_dn128.csv,nll_features,vscore_distilgpt2_external_d_seed18_dn128__e26c222da2__nll_hist,nll_hist,nll_or_predictability,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_external_d_seed18_dn32.csv,nll_features,vscore_distilgpt2_external_d_seed18_dn32__66f3a2b8cb__nll_hist,nll_hist,nll_or_predictability,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_external_d_seed19_dn128.csv,nll_features,vscore_distilgpt2_external_d_seed19_dn128__037e239955__nll_hist,nll_hist,nll_or_predictability,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_external_d_seed19_dn32.csv,nll_features,vscore_distilgpt2_external_d_seed19_dn32__024e746146__nll_hist,nll_hist,nll_or_predictability,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_external_d_seed20_dn32.csv,nll_features,vscore_distilgpt2_external_d_seed20_dn32__7b45d42936__nll_hist,nll_hist,nll_or_predictability,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_external_d_seed21_dn32.csv,nll_features,vscore_distilgpt2_external_d_seed21_dn32__f718ad08c4__nll_hist,nll_hist,nll_or_predictability,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_external_d_word_shuffle_seed17_dn32.csv,nll_features,vscore_distilgpt2_external_d_word_shuffle_seed17_dn32__3924e90969__nll_hist,nll_hist,nll_or_predictability,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_external_d_word_shuffle_seed18_dn32.csv,nll_features,vscore_distilgpt2_external_d_word_shuffle_seed18_dn32__19165574cd__nll_hist,nll_hist,nll_or_predictability,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_external_d_word_shuffle_seed19_dn32.csv,nll_features,vscore_distilgpt2_external_d_word_shuffle_seed19_dn32__f03337bcfb__nll_hist,nll_hist,nll_or_predictability,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_external_d_word_shuffle_seed20_dn32.csv,nll_features,vscore_distilgpt2_external_d_word_shuffle_seed20_dn32__d65445dcee__nll_hist,nll_hist,nll_or_predictability,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_external_d_word_shuffle_seed21_dn32.csv,nll_features,vscore_distilgpt2_external_d_word_shuffle_seed21_dn32__bf08c14675__nll_hist,nll_hist,nll_or_predictability,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,nll_features,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32__7dbc9b57e0__nll_hist,nll_hist,nll_or_predictability,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.csv,nll_features,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32__0044d39406__nll_hist,nll_hist,nll_or_predictability,46,float64
/home/eduardo/Projects/poemforge-paper/results/scores/phase_a_eval_scores/vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,nll_features,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32__a8ce11eccb__nll_hist,nll_hist,nll_or_predictability,46,float64
