observer,nll_col,target,rho,p
distilgpt2,item_nll_bpb__distilgpt2,Surprise,-0.3800142290231519,0.0222462771431153
distilgpt2,item_nll_bpb__distilgpt2,Clarity,-0.3619513480878608,0.0300664262628712
distilgpt2,item_nll_bpb__distilgpt2,Aesthetic_Appeal,-0.5085924018346032,0.0015388252881817
distilgpt2,item_nll_bpb__distilgpt2,Creativity,-0.4755038144599275,0.0033795276251944
distilgpt2,item_nll_bpb__distilgpt2,Felt_Valence,-0.4216557543834822,0.0104272209290526
gpt2,item_nll_bpb__gpt2,Surprise,-0.2406799708723384,0.1573620457845028
gpt2,item_nll_bpb__gpt2,Clarity,-0.3731497006069376,0.02499117476743
gpt2,item_nll_bpb__gpt2,Aesthetic_Appeal,-0.4856793551308422,0.0026751973024259
gpt2,item_nll_bpb__gpt2,Creativity,-0.4487221211461813,0.0060515266991721
gpt2,item_nll_bpb__gpt2,Felt_Valence,-0.394489536314806,0.017272073013211
gpt2-medium,item_nll_bpb__gpt2-medium,Surprise,-0.2165990963120777,0.2044923556622991
gpt2-medium,item_nll_bpb__gpt2-medium,Clarity,-0.3488222451344605,0.0370632644564044
gpt2-medium,item_nll_bpb__gpt2-medium,Aesthetic_Appeal,-0.4474480356307468,0.0062145885369462
gpt2-medium,item_nll_bpb__gpt2-medium,Creativity,-0.4411253908312245,0.0070808250479327
gpt2-medium,item_nll_bpb__gpt2-medium,Felt_Valence,-0.4014420281428085,0.0152366013254089
