observer,label,control_from_filename,n_files,seeds,d_ns,control_modes
distilgpt2,Aesthetic,Appeal,5,"17,18,19,20,21",8,"[""matched_other""]"
distilgpt2,Clarity,matchedctrl,5,"17,18,19,20,21",8,"[""matched_other""]"
distilgpt2,Creativity,matchedctrl,5,"17,18,19,20,21",8,"[""matched_other""]"
distilgpt2,Surprise,matchedctrl,5,"17,18,19,20,21",8,"[""matched_other""]"
distilgpt2,Surprise,surfacepool,5,"17,18,19,20,21",8,"[""matched_other""]"
distilgpt2,aesthetic,matchedctrl,5,"17,18,19,20,21",8,"[""matched_other""]"
distilgpt2,aesthetic,wordctrl,15,"17,18,19,20,21","6,8,12","[""word_shuffle""]"
distilgpt2,valence,matchedctrl,5,"17,18,19,20,21",8,"[""matched_other""]"
distilgpt2,valence,targetpool,3,"17,18,19",12,"[""word_shuffle""]"
gpt2,Aesthetic,Appeal,5,"17,18,19,20,21",8,"[""matched_other""]"
gpt2,Clarity,matchedctrl,5,"17,18,19,20,21",8,"[""matched_other""]"
gpt2,Felt,Valence,5,"17,18,19,20,21",8,"[""matched_other""]"
gpt2,Surprise,matchedctrl,5,"17,18,19,20,21",8,"[""matched_other""]"
gpt2,Surprise,surfacepool,5,"17,18,19,20,21",8,"[""matched_other""]"
gpt2-medium,Aesthetic,Appeal,5,"17,18,19,20,21",8,"[""matched_other""]"
gpt2-medium,Clarity,matchedctrl,5,"17,18,19,20,21",8,"[""matched_other""]"
gpt2-medium,Surprise,matchedctrl,5,"17,18,19,20,21",8,"[""matched_other""]"
gpt2-medium,Surprise,surfacepool,5,"17,18,19,20,21",8,"[""matched_other""]"
